trail_name,feature_name,edge_uid,elastic_net_coefficient,abs_elastic_net_coefficient,screen_rank,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,coefficient_rank
Pine Hill West Branch Trail,edge_512700344,512700344,-1.6747394178779587,1.6747394178779587,24,11,-0.8833048826223676,0.8833048826223676,7.7272727272727275,12
Pine Hill West Branch Trail,edge_515392431,515392431,1.6391309314120022,1.6391309314120022,8,14,0.9002482985029872,0.9002482985029872,9.642857142857142,13
Pine Hill West Branch Trail,edge_512949051,512949051,1.5984080396960147,1.5984080396960147,16,11,0.890251429842762,0.890251429842762,7.2727272727272725,14
Pine Hill West Branch Trail,edge_511412160,511412160,-1.5922437710080175,1.5922437710080175,12,10,-0.894127425671501,0.894127425671501,6.0,15
Pine Hill West Branch Trail,edge_507762566,507762566,-1.547691244801755,1.547691244801755,97,10,-0.8465723787425641,0.8465723787425641,8.5,16
Pine Hill West Branch Trail,edge_510880668,510880668,1.5443936526293867,1.5443936526293867,40,12,0.8700657719194298,0.8700657719194298,12.083333333333334,17
Pine Hill West Branch Trail,edge_510777206,510777206,-1.4348797499972659,1.4348797499972659,5,11,-0.9042938463003706,0.9042938463003706,6.818181818181818,18
Pine Hill West Branch Trail,edge_514336095,514336095,1.37554216806315,1.37554216806315,18,10,0.8887515663186535,0.8887515663186535,6.5,19
Pine Hill West Branch Trail,edge_514057783,514057783,1.3596493066141233,1.3596493066141233,27,11,0.8791448446786505,0.8791448446786505,9.090909090909092,20
Pine Hill West Branch Trail,edge_512444357,512444357,1.3567949068900498,1.3567949068900498,7,11,0.901083432785847,0.901083432785847,7.7272727272727275,21
Pine Hill West Branch Trail,edge_499461167,499461167,-1.3186934787072933,1.3186934787072933,36,13,0.8763688855067713,0.8763688855067713,10.0,22
Pine Hill West Branch Trail,edge_510579391,510579391,1.2769466891210912,1.2769466891210912,47,12,0.8677721055003066,0.8677721055003066,10.0,23
Pine Hill West Branch Trail,edge_514057791,514057791,1.2595088397439507,1.2595088397439507,42,10,0.8685678712459433,0.8685678712459433,9.5,24
