edge_uid,reported_months,mean_trips,std_trips,log_variance,max_trips
512396823,63,1239.8412698412699,4279.697943842229,3.0966101325675823,23005.0
512409112,63,506.1904761904762,1217.0637306336769,3.094928349254528,5495.0
512414467,63,963.6507936507936,2489.7205126131685,3.089594055755772,14500.0
512396834,63,1250.1587301587301,4279.341878125915,3.0777779513356216,23050.0
511044650,63,6837.142857142857,9249.890091512934,3.0746380918915106,65905.0
512409111,63,505.63492063492066,1213.6709484118605,3.0706064115173493,5475.0
512408075,63,1234.5238095238096,4039.8434689299806,3.066129002753763,19930.0
512397501,63,1246.904761904762,4250.29025845365,3.060886403825595,23030.0
510997238,63,2967.222222222222,3839.0344234793592,3.0556448715010815,24535.0
512386721,63,5413.174603174603,4116.677263865661,3.054884772989297,25095.0
510723018,63,699.6825396825396,647.4583515163619,3.052706049539057,1955.0
512413228,63,514.6031746031746,1254.5906997346692,3.046052839700872,5765.0
510855556,63,870.1587301587301,2571.2540821637062,3.044532116799561,11790.0
510723016,63,707.063492063492,652.5400957404065,3.0441685002560472,1990.0
512407840,63,1298.7301587301588,4310.95893159309,3.03873087864716,22375.0
512396837,63,1252.6984126984128,4278.325986444672,3.0356093236026473,23075.0
512408139,63,546.7460317460317,1355.4615208333305,3.0353787355334725,6920.0
511107196,63,418.8888888888889,367.95691854728057,3.033968202630884,1805.0
512392919,63,4326.984126984127,3380.242110493039,3.0316502970198043,20300.0
512408070,63,1250.952380952381,4103.409563531643,3.029100808202494,20440.0
512408102,63,1203.3333333333333,3969.2947492535263,3.02722779715307,19935.0
512397505,63,1239.5238095238096,4247.942169193345,3.0253206406519477,23005.0
510971725,63,1663.2539682539682,2343.7779948831576,3.014201352791209,13040.0
512403313,63,1346.4285714285713,4583.728886715754,2.9871676492263632,24545.0
510979808,63,1810.3968253968253,1076.7522484331705,2.985235940909204,5650.0
512408221,63,546.3492063492064,1351.9550378896356,2.971134301538621,6905.0
511043273,63,697.8571428571429,855.9435061464546,2.9599301925773718,4555.0
511043272,63,674.1269841269841,827.4843043451228,2.9578042634504977,4390.0
512403326,63,1422.3809523809523,4739.257194514807,2.9551045729405105,25080.0
511040435,63,828.1746031746031,2790.4442792275263,2.9496271026967946,19970.0
510998527,63,11375.15873015873,12037.58689943691,2.943874902575276,73270.0
512408129,63,543.8888888888889,1340.760931170047,2.9419136544978546,6870.0
512403322,63,1366.6666666666667,4615.580206773715,2.9370700253407227,24660.0
512403306,63,1336.5873015873017,4562.632925628546,2.937023743158915,24485.0
512403318,63,1367.3015873015872,4615.724423745983,2.9324053543342137,24665.0
511043264,63,327.77777777777777,443.67851789346685,2.9249198321576104,2480.0
511040437,63,614.9206349206349,2021.6065736836335,2.9242475329949733,14535.0
512408114,63,540.7936507936508,1333.8569488363573,2.9229875210019727,6845.0
510836317,63,689.3650793650794,2359.7835965680943,2.9117918572215102,10250.0
512397516,63,725.1587301587301,1690.701555151562,2.903497326093618,9515.0
510836362,63,759.9206349206349,2744.761358106462,2.8978052737540048,15250.0
512408126,63,540.3968253968254,1332.6224151199326,2.891134116357118,6840.0
512403298,63,1286.5079365079366,4426.287550507164,2.885845366939777,23980.0
512408113,63,539.047619047619,1328.2934895835506,2.8829021885269266,6845.0
512408096,63,1215.3174603174602,3968.978993700037,2.88168265108891,19840.0
510998831,63,1317.857142857143,1266.782409418074,2.874484805850003,7650.0
512397578,63,748.4920634920635,1749.9464588400879,2.8719288702501733,9800.0
512414461,63,1062.6190476190477,2736.6955081169453,2.8699035922274723,14990.0
